"genus" "family" "order"
"Acacia_longissima" "Acacia" "Fabaceae" "Fabales"
"Acacia_lysiphloia" "Acacia" "Fabaceae" "Fabales"
"Acacia_mabellae" "Acacia" "Fabaceae" "Fabales"
"Acacia_macilenta" "Acacia" "Fabaceae" "Fabales"
"Acacia_macnuttiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_maconochieana" "Acacia" "Fabaceae" "Fabales"
"Acacia_macracantha" "Acacia" "Fabaceae" "Fabales"
"Acacia_maidenii" "Acacia" "Fabaceae" "Fabales"
"Acacia_maitlandii" "Acacia" "Fabaceae" "Fabales"
"Acacia_mangium" "Acacia" "Fabaceae" "Fabales"
"Acacia_mayana" "Acacia" "Fabaceae" "Fabales"
"Acacia_mearnsii" "Acacia" "Fabaceae" "Fabales"
"Acacia_megacephala" "Acacia" "Fabaceae" "Fabales"
"Acacia_melanoceras" "Acacia" "Fabaceae" "Fabales"
"Acacia_melanoxylon" "Acacia" "Fabaceae" "Fabales"
"Acacia_melleodora" "Acacia" "Fabaceae" "Fabales"
"Acacia_menzelii" "Acacia" "Fabaceae" "Fabales"
"Acacia_merrallii" "Acacia" "Fabaceae" "Fabales"
"Acacia_merrickiae" "Acacia" "Fabaceae" "Fabales"
"Acacia_microbotrya" "Acacia" "Fabaceae" "Fabales"
"Acacia_microcarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_mimula" "Acacia" "Fabaceae" "Fabales"
"Acacia_minutifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_mitchellii" "Acacia" "Fabaceae" "Fabales"
"Acacia_mollifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_montana" "Acacia" "Fabaceae" "Fabales"
"Acacia_monticola" "Acacia" "Fabaceae" "Fabales"
"Acacia_mucronata" "Acacia" "Fabaceae" "Fabales"
"Acacia_muelleriana" "Acacia" "Fabaceae" "Fabales"
"Acacia_multisiliqua" "Acacia" "Fabaceae" "Fabales"
"Acacia_multispicata" "Acacia" "Fabaceae" "Fabales"
"Acacia_murrayana" "Acacia" "Fabaceae" "Fabales"
"Acacia_myrtifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_nanodealbata" "Acacia" "Fabaceae" "Fabales"
"Acacia_nematophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_neovernicosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_neriifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_neurocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_neurophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_nilotica" "Acacia" "Fabaceae" "Fabales"
"Acacia_nodiflora" "Acacia" "Fabaceae" "Fabales"
