"la" "ln" "ph" "sla" "ssd" "sm"
"Acacia_leucoclada" NA NA NA NA NA 17.21
"Acacia_leucolobia" NA NA NA NA NA 25.76
"Acacia_ligulata" 238 NA 4 14.260272725 NA 29.8679259259259
"Acacia_linearifolia" 178.8854382 NA NA NA NA 21.97
"Acacia_lineata" 13.4596 NA 1.1 4.641241379 NA 10.79
"Acacia_lineolata" NA NA NA NA NA 2.72
"Acacia_linifolia" NA NA NA NA NA 23.8371875
"Acacia_lirellata" NA NA NA NA NA 4
"Acacia_longifolia" 1171.8211111 24.9372058823529 7.048 8.65306816 0.51 16.1550221111111
"Acacia_longispicata" NA NA NA NA NA 12.51
"Acacia_longispinea" NA NA NA NA NA 5
"Acacia_longissima" 359.34325 NA 1.45 5.1890894015 NA 11.8
"Acacia_lysiphloia" NA NA NA NA NA 17.88
"Acacia_mabellae" NA NA NA NA NA 15.76
"Acacia_macilenta" NA NA NA NA NA 62.82
"Acacia_macnuttiana" NA NA NA NA NA 26.27
"Acacia_maconochieana" NA NA NA NA 0.800365 NA
"Acacia_macracantha" NA 35.5 7.0104 NA 0.73 37.76
"Acacia_maidenii" NA NA NA NA 0.62 13.1
"Acacia_maitlandii" 35 NA NA NA NA 9.83
"Acacia_mangium" 9050 23.7975 10.1387755102041 8.7683135115 0.491029234 14.6
"Acacia_mayana" NA NA 7 NA NA 250
"Acacia_mearnsii" 1.8 54.38 8.76041666666667 19.3428681975 0.63477607425 13.2516666666667
"Acacia_megacephala" NA NA NA NA NA 7.73
"Acacia_melanoceras" 6.599003325 34.96527127 14.24 NA NA NA
"Acacia_melanoxylon" 1538.092 36.612693607326 21.3973333333333 12.8868736208095 0.5305614375 13.7560763333333
"Acacia_melleodora" NA 15.9 NA 5.0284504405 NA 8.44
"Acacia_menzelii" NA NA NA NA NA 7.87
"Acacia_merrallii" NA NA NA NA NA 0.57
"Acacia_merrickiae" NA NA NA NA NA 17.57
"Acacia_microbotrya" NA NA NA NA NA 28.67
"Acacia_microcarpa" NA NA NA NA NA 6.1
"Acacia_mimula" NA 23.89 NA 5.375 NA NA
"Acacia_minutifolia" 3 NA NA NA NA 6.924
"Acacia_mitchellii" NA NA NA NA NA 15.47
"Acacia_mollifolia" NA NA NA NA NA 20.29
"Acacia_montana" NA 15.6 NA NA NA 10.4
"Acacia_monticola" 120 NA NA NA NA 31.02
"Acacia_mucronata" NA NA NA NA NA 4.7
"Acacia_muelleriana" 9.908 NA 0.5 3.135443038 NA NA
"Acacia_multisiliqua" NA NA NA NA NA 13.55
"Acacia_multispicata" NA NA NA NA NA 6.19
"Acacia_murrayana" 25 19.2 NA 4.818822521 0.519183 33.7
"Acacia_myrtifolia" 360.0623153 16.6 NA 7.03946237 NA 9.4
"Acacia_nanodealbata" NA NA NA NA NA 11.18
"Acacia_nematophylla" NA NA NA NA NA 17.66
"Acacia_neovernicosa" 23.3333333325 NA NA 64.34375 NA 8.69666666666667
"Acacia_neriifolia" NA NA NA NA NA 27.61
"Acacia_neurocarpa" NA NA NA NA NA 10.63
"Acacia_neurophylla" NA NA NA NA NA 4.39
"Acacia_nilotica" 798.620944252847 22.2087785085417 6.44583333333333 6.56277443002222 0.920472579333333 142.212222222222
"Acacia_nodiflora" NA NA NA NA NA 21.55
"Acacia_notabilis" NA NA NA NA NA 15.74
"Acacia_obliquinervia" NA NA NA NA NA 26.4
"Acacia_obtusata" NA NA NA NA NA 17.8
"Acacia_obtusifolia" NA NA NA NA NA 21.22
"Acacia_occidentalis" NA NA NA NA NA 230.8
"Acacia_olgana" NA 19.65 NA NA NA NA
"Acacia_olsenii" NA NA NA NA NA 35.9
"Acacia_omalophylla" NA NA NA NA 1.063335 NA
