"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Artemisia_codonocephala" "Temperate" "non-woody" "NA" "NA" -0.855094138 0.561303601 NA 0.100434043
"Artemisia_dracunculus" "Temperate" "non-woody" "NA" "NA" 0.388684651 NA NA 0.722727414
"Artemisia_frigida" "Continental" "woody" "NA" "NA" -0.111390136 -0.34214705 0.267752663 0.453633259
"Artemisia_gmelinii" "Temperate" "non-woody/woody" "NA" "NA" 0.067901144 NA NA -0.718367787
"Artemisia_halodendron" "Continental" "woody" "NA" "NA" -0.158827152 0.497972053 NA -0.224534333
"Artemisia_igniaria" "NA" "non-woody" "AM" "NA" 0.542342348 -0.714286035 0.156340929 0.058470727
"Artemisia_ludoviciana" "NA" "non-woody/woody" "NA" "NA" -0.100512029 0.144950113 -0.015915753 NA
"Artemisia_mongolica" "NA" "non-woody/woody" "AM" "NA" 0.512575911 -0.72465432 0.247470239 -0.166081544
"Artemisia_nanschanica" "Polar" "non-woody" "NA" "NA" -1.600277545 2.027213922 NA NA
"Artemisia_ordosica" "Arid" "non-woody/woody" "NA" "NA" 0.251332856 NA NA -0.003629629
"Artemisia_sacrorum" "Arid" "non-woody" "NA" "NA" -0.997787997 NA NA NA
"Artemisia_scoparia" "Arid" "non-woody" "NA" "NA" -0.268943884 NA NA -0.643192021
"Artemisia_sphaerocephala" "Arid" "non-woody/woody" "NA" "NA" 0.03294746 NA NA -1.009368224
"Artemisia_tanacetifolia" "Arid" "non-woody" "NA" "NA" -0.511066677 NA NA NA
"Artemisia_tridentata" "Continental" "woody" "NA" "NA" 0.096543088 -0.069586622 NA NA
"Artemisia_vulgaris" "NA" "non-woody" "NA" "NA" -0.003831917 0.329449411 -0.871063344 NA
"Arthraxon_hispidus" "Temperate" "non-woody" "NA" "NA" -0.81075715 0.628384228 NA -1.325083964
"Artocarpus_altilis" "Tropical" "woody" "NA" "NA" 0.891681825 -0.418550768 -0.37111302 NA
"Artocarpus_nitidus" "Tropical" "woody" "NA" "NA" 0.666555 -0.175927201 -0.550284694 NA
"Artocarpus_styracifolius" "Tropical" "woody" "AM" "NA" -0.057583158 -0.36572059 1.269360675 -0.814915787
"Ascarina_lucida" "Temperate" "woody" "AM" "NA" -0.113311611 0.436740072 -0.379450249 0.21231942
"Asclepias_incarnata" "NA" "non-woody" "NA" "NA" -0.538324366 0.588979659 0.017089442 NA
"Asclepias_speciosa" "NA" "non-woody" "NA" "NA" -0.496669735 0.692426546 -0.244130515 NA
"Asclepias_sullivantii" "NA" "non-woody" "NA" "NA" -0.251734154 0.545379431 -0.481258355 NA
"Asclepias_syriaca" "NA" "non-woody" "NA" "NA" -0.072626566 0.462324076 -0.079160298 0.892593219
"Asclepias_tuberosa" "NA" "non-woody" "NA" "NA" -0.458683963 0.6992351 0.582316655 0.717436486
"Asclepias_verticillata" "NA" "non-woody" "NA" "NA" -0.541963035 0.759692288 -0.085657746 -0.159799793
"Asclepias_viridis" "NA" "non-woody" "NA" "NA" -0.502419614 0.508462879 0.129608401 NA
"Asimina_triloba" "NA" "woody" "AM" "NA" -0.474312279 0.705311871 -0.040469992 0.681990674
"Asparagus_schoberioides" "NA" "non-woody" "AM" "NA" 0.168259787 0.413014241 -1.168000162 0.113489273
"Asperula_perpusilla" "Temperate" "non-woody/woody" "NA" "NA" NA NA -0.142953218 NA
"Astelia_fragrans" "Temperate" "non-woody" "AM" "NA" -0.494076722 1.336807007 -1.548060476 0.406821256
"Astelia_nervosa" "Temperate" "non-woody" "AM" "NA" -0.412068178 1.353429274 -1.548060476 -0.336927308
"Aster_lanceolatus" "NA" "non-woody" "NA" "NA" -0.168099126 0.183224335 0.021810269 NA
"Aster_tataricus" "NA" "non-woody" "AM" "NA" 0.805530809 -0.45665608 -0.843217027 0.537794289
"Astilbe_rivularis" "NA" "non-woody" "AM" "NA" -0.659971997 0.592772186 0.229914167 -0.462437062
"Astilbe_rubra" "NA" "non-woody" "AM" "NA" 0.583425765 -0.6725689 -0.00117577 -0.015096442
"Astragalus_aboriginum" "Arid" "non-woody" "NA" "Rhizobia" -0.40355506 -0.263805582 1.123956835 NA
"Astragalus_bisulcatus" "Arid" "non-woody" "NA" "Rhizobia" 0.1186322 0.515581025 -1.405985044 NA
